Year,Quarter,Month,Day,Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Aboard,Fatalities (air),Ground,Casualties
1954,Qtr 2,April,13,13/04/1954,Laos,Lockheed,Lockheed 18 LodestarF OALK,Xieng Kouang Laos,Raviteillement de Indochinoise Societe,23,16,0,16
1969,Qtr 4,December,23,23/12/1969,Laos,Douglas,Douglas C 47A,Near Luang Prabang Laos,Air Laos,6,6,0,6
2013,Qtr 4,October,16,16/10/2013,Laos,ATR,ATR  72,Near Pakse Laos,Airlines Lao,49,49,0,49
1969,Qtr 3,August,19,19/08/1969,Laos,Pilatus,Pilatus Pc 6CN196X,Near Long Tieng Laos,America Air,13,13,0,13
1954,Qtr 3,August,16,16/08/1954,Laos,Bristol,Bristol 170 Freighter 21EF VNAI,Near Pakse Laos,Vietnam) (South Vietnam Air,55,47,0,47
1968,Qtr 4,November,25,25/11/1968,Laos,Curtiss,Curtiss C 46D,Savannakhet Laos,America Air,28,26,0,26
1969,Qtr 3,September,2,02/09/1969,Laos,Douglas,Douglas C 47248,Near Pakse Laos,Force Air Lao Royal - Military,35,35,0,35
1972,Qtr 1,February,4,04/02/1972,Laos,de Havilland,de Havilland Canada C 7A Caribou393,Pha Khao Laos,America Air,38,1,0,1
1958,Qtr 1,February,27,27/02/1958,Lancs,Bristol,Bristol 170 Freighter 21G AICS,Horwich Lancs,England Silver City Airways,42,35,0,35
1947,Qtr 4,December,10,10/12/1947,Labrador,Douglas,Douglas C 54D,Near Goose Bay Labrador,Force Air U.S. - Military,29,23,0,23
2017,Qtr 1,January,16,16/01/2017,Kyrgyzstan,Boeing,Boeing 747 412FTC,Bishkek Kyrgyzstan,Airlines) (ACT Airlines Cargo My,4,4,35,39
1969,Qtr 2,June,28,28/06/1969,Kyrgyzstan,Ilyushin,Ilyushin IL 14CCCP,Near Talas Kyrgyzstan,Aeroflot,40,40,0,40
2008,Qtr 3,August,24,24/08/2008,Kyrgyzstan,Boeing,Boeing B 737,Bishkek Kyrgyzstan,Air Itek,90,68,0,68
1959,Qtr 3,July,15,15/07/1959,Kuwait,Avro,Avro 685 YorkEP ADE,Kuwait City Kuwait,PAS,32,32,0,32
1999,Qtr 4,December,10,10/12/1999,Kuwait,Lockheed,Lockheed C 130H63,Kuwait City Kuwait,Force Air U.S. - Military,94,3,0,3
1999,Qtr 4,November,12,12/11/1999,Kosovo,Aerospatiale,Aerospatiale Alenia ATR 42F,Near Pristina Kosovo,charter U.N. - Fly Si,24,24,0,24
1961,Qtr 4,December,24,24/12/1961,Kodiak,Grumman,Grumman G 21A GooseN1503V,Old Harbor Kodiak,Alaska          Island Kodiak Airways,5,1,0,1
1995,Qtr 4,October,4,04/10/1995,Kirghizia,Mil,Mil Mi 8MTV,Barskoon Kirghizia,Zaoldoru Aba Kirghizia,15,15,0,15
1974,Qtr 2,June,27,27/06/1974,Khmer,Boeing,Boeing 307B 1 StratolinerXW,Battambang Khmer,Air RepublicCambodia,39,19,0,19
1998,Qtr 1,March,10,10/03/1998,Kenya,Boeing,Boeing 707 336CSU,Mombasa Kenya,Memphis Air,6,6,0,6
1999,Qtr 2,May,29,29/05/1999,Kenya,LET,Let 410UVP E5Y,Ol Kiombo Kenya,Services Air Malindi,2,2,0,2
1976,Qtr 4,October,4,04/10/1976,Kenya,Douglas,Douglas DC 7CFTZ,Nairobi Kenya,Transport Air Emirates,4,4,0,4
2004,Qtr 2,May,23,23/05/2004,Kenya,LET,Let 410UVP5Y VVD,Mwingi Kenya,Aviation Bird Blue,2,2,0,2
1944,Qtr 4,November,29,29/11/1944,Kenya,Lockheed,Lockheed 18 LodeStarG AGBW,Nairobi Kenya,BOAC,11,11,0,11
1992,Qtr 2,April,14,14/04/1992,Kenya,de Havilland,de Havilland DHC 5 Buffalo218,Nairobi Kenya,Force Air Kenyan - Military,46,46,6,52
2003,Qtr 1,January,24,24/01/2003,Kenya,Grumman,Grumman G 159 Gulfstream I5Y,Busia Kenya,Services Commuter African,13,3,0,3
1974,Qtr 4,November,20,20/11/1974,Kenya,Boeing,Boeing B 747,Near Nairobi Kenya,Lufthansa,157,59,0,59
2018,Qtr 2,June,5,05/06/2018,Kenya,Cessna,"Cessna 208B Grand Carivan	5Y CAC",Near Njabini Kenya,SAX Fly,10,10,0,10
2014,Qtr 3,July,2,02/07/2014,Kenya,Fokker,Fokker 505Y CET,Near Nairobi Kenya,Aviation International Skyward,4,4,0,4
1955,Qtr 2,May,18,18/05/1955,Kenya,Douglas,Douglas DC 3VP,Mt. Kilimanjaro Kenya,Airways African East,20,20,0,20
1990,Qtr 4,December,4,04/12/1990,Kenya,Boeing,Boeing B 707,Nairobi Kenya,Cargo Air Sudania,10,10,0,10
1962,Qtr 2,May,17,17/05/1962,Kenya,Lockheed,Lockheed C 130A Hercules56,Near Nairobi Kenya,Force Air U.S. - Military,13,13,0,13
2006,Qtr 2,April,10,10/04/2006,Kenya,Harbin,Harbin Yunshuji Y 12,Marsabit Kenya,Force Air Kenya - Military,17,14,0,14
2003,Qtr 3,July,19,19/07/2003,Kenya,Swearingen,Swearingen SA 226T Metro IIZS,Mount Kenya Kenya,Charter Air Blake Ryan,14,14,0,14
1938,Qtr 3,July,27,27/07/1938,Kenya,Armstrong,Armstrong  Withworth AtlantaG,Kisumu Kenya,Airways Imperial,4,4,0,4
1945,Qtr 3,July,11,11/07/1945,Kenya,Douglas,Douglas C 476812,Near Kisumu Kenya,Force Air African South - Military,28,28,0,28
2002,Qtr 4,November,28,28/11/2002,Kenya,LET,Let 410UVP E205Y,Masai Mara Game Reserve Kenya,Aviation Eagle,20,1,0,1
1994,Qtr 1,March,14,14/03/1994,Kenya,Lockheed,Lockheed C 130H Hercules69,Off Malindi Kenya,Force Air U.S. - Military,8,8,0,8
1979,Qtr 4,October,8,08/10/1979,Kentucky,Piper,Piper PA 31N6642L,Covington Kentucky,Comair,8,8,0,8
1953,Qtr 3,September,28,28/09/1953,Kentucky,Curtiss,Curtiss C 46F,Louisville Kentucky,Airlines Resort,41,25,0,25
1989,Qtr 3,September,15,15/09/1989,Kentucky,Beech,Beech King Air B100N887PE,Mayfield Kentucky,Aviation Cap Wehite,6,6,0,6
1972,Qtr 4,November,17,17/11/1972,Kentucky,Beech,Beech G18SN2700S,Elkton Kentucky,Systems Air Metro,11,11,0,11
1986,Qtr 3,September,9,09/09/1986,Kentucky,Lockheed,Lockheed C 130A Hercules56,Hopkinsville Kentucky,Force Air U.S. - Military,4,3,0,3
2003,Qtr 1,February,16,16/02/2003,Kentucky,Cessna,Cessna 421N421TJ,Ferguson Kentucky,Co. Aircraft Northern Great - Taxi Air,7,3,0,3
2006,Qtr 3,August,27,27/08/2006,Kentucky,Canadair,Canadair CRJ 200ERN431CA,Lexington Kentucky,Comair,50,49,0,49
1943,Qtr 3,July,28,28/07/1943,Kentucky,Douglas,Douglas DC 3NC16014,Trammel Kentucky,Airlines American,22,20,0,20
1926,Qtr 3,August,18,18/08/1926,Kent,Bleriot,Bleriot 155F AIEB,Hurst Kent,England Air Union,15,3,0,3
1919,Qtr 4,October,20,20/10/1919,Kent,de Havilland,De Havilland DH 4G,English Channel off Forkstone Kent,Travel and Transport Aircraft,0,0,0,0
1926,Qtr 4,October,2,02/10/1926,Kent,Bleriot,Bleriot 155F  AICQ,Leigh Kent,Unied Kingdom Air Union,7,7,0,7
1930,Qtr 3,July,21,21/07/1930,Kent,Junkers,Junkers F 13geG,Near Meopham Kent,England Walcot Air Line,6,6,0,6
1922,Qtr 2,June,3,03/06/1922,Kent,Bleriot,Bleriot Spad 27F ACMH,Off Folkestone Kent,England Cie des Messageries Aeriennes,3,3,0,3
1965,Qtr 1,January,3,03/01/1965,Kazakhstan,Ilyushin,Ilyushin IL 18BCCCP,Alma-Ata Kazakhstan,Kazakhstan / Aeroflot,103,64,0,64
2019,Qtr 4,December,27,27/12/2019,Kazakhstan,Fokker,Fokker 100UP F100,Almaty Kazakhstan,Air Bek,98,12,0,12
1941,Qtr 4,December,26,26/12/1941,Kazakhstan,Tupolev,Tupolev ANT 6CCCP,Baiserke Kazakhstan,Aeroflot,34,26,0,26
1948,Qtr 3,September,30,30/09/1948,Kazakhstan,sunov,Lisunov LI 2CCCP,Balkhash Kazakhstan,Aeroflot,15,15,0,15
2012,Qtr 4,December,25,25/12/2012,Kazakhstan,Antonov,Antonov AN 72,Near Shymkent Kazakhstan,Guards Border Kazakhstan - Military,27,27,0,27
1980,Qtr 3,July,8,08/07/1980,Kazakhstan,Tupolev,Tupolev TU 154BCCCP,Near Alma-Ata Kazakhstan,USSRAeroflot,166,166,0,166
2013,Qtr 1,January,29,29/01/2013,Kazakhstan,Canadair,Canadair CRJ 200ERUP,Near Kyzyltu Kazakhstan,Air SCAT,21,21,0,21
1987,Qtr 1,March,6,06/03/1987,Kazakhstan,Antonov,Antonov AN 26CCCP,Near Almaty Kazakhstan,Aeroflot,9,9,0,9
1973,Qtr 1,February,28,28/02/1973,Kazakhstan,Yakovlev,Yakovlev YAK 40CCCP,Semipalatinsk Kazakhstan,Aeroflot,32,32,0,32
2004,Qtr 2,May,18,18/05/2004,Kazakhstan,PZL,PZL  Mielec AN,Bozoy Kazakhstan,Aray-Avia,12,1,0,1
1983,Qtr 3,August,30,30/08/1983,Kazakhstan,Tupolev,Tupolev TU 134ACCCP,Near Alma-Ata Kazakastan,USSRAeroflot,90,90,0,90
2007,Qtr 1,March,11,11/03/2007,Kauai,Mc,Mc Donnell Douglas 369FF RotocraftN911VC,Hanea Kauai,Hawaii Inter-Island,5,1,0,1
1985,Qtr 1,January,9,09/01/1985,Kansas,Lockheed,Lockheed L 188AF ElectraN357Q,Kansas City Kansas,Airways International TPI,3,3,0,3
1928,Qtr 2,June,22,22/06/1928,Kansas,Douglas,Douglas M 4NC1059,Lebo Kansas,Transport Air National,1,1,0,1
1931,Qtr 1,March,31,31/03/1931,Kansas,Fokker,Fokker F10A TrimotorNC 999,Bazaar Kansas,Air Western and Continental Trans,8,8,0,8
1944,Qtr 3,September,17,17/09/1944,Kansas,Consolidated,Consolidated B 24 Liberator,Copeland Kansas,Army U.S. - Military,13,13,2,15
1946,Qtr 3,July,18,18/07/1946,Kansas,Douglas,Douglas C 47,Goodland Kansas,Corps Air Army U.S. - Military,13,13,0,13
1965,Qtr 1,January,16,16/01/1965,Kansas,Boeing,Boeing KC 135A57,Wichita Kansas,Force Air U.S. - Military,7,7,23,30
2000,Qtr 4,October,10,10/10/2000,Kansas,Canadair,Canadair CL 600,Wichita Kansas,Aerospace Bombardier,3,2,0,2
1987,Qtr 2,April,13,13/04/1987,Kansas,Boeing,Boeing 707 351CN144SP,Kansas City Kansas,Express Air Burlington,4,4,0,4
2000,Qtr 3,July,26,26/07/2000,Jordan,Lockheed,Lockheed C 130H Hercules348,Mafraq Jordan,Force Air Jordanian Royal - Military,13,13,0,13
1959,Qtr 1,January,22,22/01/1959,Jordan,Convair,Convair CV 240,Dabouk Jordan,Jordan Air,15,10,0,10
1957,Qtr 2,April,17,17/04/1957,Jordan,Vickers,Vickers Valetta C Mk.1VW832,Near El Quweira Jordan,Force Air -Royal Military,24,24,0,24
1956,Qtr 3,September,9,09/09/1956,Jordan,Curtiss,Curtiss C 46A,Amman Jordan,Airlines International Jordan,57,1,0,1
1973,Qtr 2,June,30,30/06/1973,Jordan,Tupolev,Tupolev TU 134ACCCP,Amman Jordan,Aeroflot,85,2,7,9
1984,Qtr 1,January,2,02/01/1984,Jordan,CASA,CASA 212 A3 Aviocar 100324,Amman Jordan,Force Air Jordanian Royal - Military,13,13,0,13
1977,Qtr 2,May,10,10/05/1977,Jordan,Sirkorsky,Sikorsky CH 53D (helicopter)360,Near Jericho Jordan,Force Air Israel - Military,54,54,0,54
1946,Qtr 4,December,25,25/12/1946,Jiangsu,Curtiss,Curtiss C 47,Near Wusong Jiangsu,China CNAC,34,13,3,16
1992,Qtr 3,July,31,31/07/1992,Jiangsu,Yakovlev,Yakovlev YAK 42DB,Nanjing Jiangsu,China China General Aviation Corporation,126,108,0,108
1938,Qtr 4,November,4,04/11/1938,Jersey,de Havilland,De Havilland DH 86G,Channel Islands Jersey,Airways Jersey,14,14,1,15
1936,Qtr 3,July,31,31/07/1936,Jersey,Saro,Saro A 19 CloudG,Off Channel Islands Jersey,Airways Guernsey,10,10,0,10
1979,Qtr 4,November,26,26/11/1979,Jeddah,Boeing,Boeing B 707,Near At Ta'if Jeddah,Saudi Arabia Pakistan International Airlines,156,156,0,156
1992,Qtr 4,October,18,18/10/1992,Jawa,CASA,CASA 235 10PK,Near Garut Jawa,Indonesia Merpati Nusantara Airlines,31,31,0,31
1963,Qtr 3,August,17,17/08/1963,Japan,de Havilland,de Havilland DH 114 HeronJA6155,Hachijo-Jima Island Japan,Kai Kabushki Koku Fujita,19,19,0,19
1950,Qtr 3,July,27,27/07/1950,Japan,Douglas,Douglas C 47D44,Off O-shima Island Japan,Force Air U.S. - Military,26,25,0,25
1957,Qtr 1,March,4,04/03/1957,Japan,Curtiss,Curtiss C 46D,Near Miho AB Japan,Force Air Japanese,17,17,0,17
2009,Qtr 1,March,23,23/03/2009,Japan,McDonnell,McDonnell Douglas MD 11N526FE,Tokyo Japan,Fed,2,2,0,2
1962,Qtr 4,November,19,19/11/1962,Japan,Vickers,Vickers 828 ViscountJA8202,Near Nagoya Japan,Airways Nippon All,4,4,0,4
1950,Qtr 3,September,26,26/09/1950,Japan,Douglas,Douglas C 54D,Near Kyushu Island Japan,Force Air U.S. - Military,51,23,0,23
1966,Qtr 4,November,13,13/11/1966,Japan,NAMC,NAMC  YS,Off Matsuyama Japan,Airways Nippon All,50,50,0,50
1963,Qtr 1,March,23,23/03/1963,Japan,H,H  21B,Misaki Mountain Japan,Force Defense Self Air Japan - Military,10,10,0,10
1966,Qtr 1,February,4,04/02/1966,Japan,Boeing,Boeing B 727,Tokyo Bay Japan,Airways Nippon All,133,133,0,133
1955,Qtr 4,November,20,20/11/1955,Japan,Douglas,Douglas C124 DL Globemaster II51,Iwo Jima Japan,Force Air US - Military,11,10,0,10
1952,Qtr 1,February,7,07/02/1952,Japan,Boeing,Boeing B 29,Kaneko Japan,Force Air U.S. - Military,13,13,5,18
1985,Qtr 2,May,6,06/05/1985,Japan,CH,CH  53D157138,Off Tanegashima Japan,Corps Marine U.S. - Military,17,17,0,17
1966,Qtr 1,March,4,04/03/1966,Japan,McDonnell,McDonnell Douglas DC 8,Near Tokyo Japan,Lines Air Pacific Canadian,72,64,0,64
1964,Qtr 1,February,27,27/02/1964,Japan,Convair,Convair CV 240,Oita Japan,Airlines Fuji,42,20,0,20
1982,Qtr 1,February,9,09/02/1982,Japan,McDonnell,McDonnell Douglas DC 8,Tokyo Japan,Lines Air Japan,174,24,0,24
1996,Qtr 2,June,13,13/06/1996,Japan,McDonnell,McDonnell Douglas DC 10,Fukuoka Japan,Airlines Indonesia Garuda,275,3,0,3
2000,Qtr 2,June,27,27/06/2000,Japan,Kawasaki,Kawasaki C 1A88,Off Shimano Japan,Force Self-Defence Air Japanese - Military,5,5,0,5
1960,Qtr 1,March,16,16/03/1960,Japan,Douglas,Douglas DC 3JA,Nagoya Japan,Airways Nippon All,40,5,0,5
1938,Qtr 3,August,24,24/08/1938,Japan,N/A,Unknown / Unknown,Tokyo Japan,School Flying Japan / Air Japan,5,5,53,58
1954,Qtr 1,February,1,01/02/1954,Japan,Curtiss,Curtiss  Wright C46D,Off Hokkaido Japan,Force Air U.S. - Military,35,35,0,35
1983,Qtr 2,April,19,19/04/1983,Japan,Kawasaki,Kawasaki C 1 / Kawasaki C,Near Toba Japan,Force Self-Defence Air Japan,14,14,0,14
1947,Qtr 2,May,29,29/05/1947,Japan,Douglas,Douglas C 54D,Atsugi Japan,Forces Air Army U.S. - Military,40,40,0,40
1979,Qtr 1,January,30,30/01/1979,Japan,Boeing,Boeing B 707,125 miles ENE of Tokyo Japan,Varig,6,6,0,6
2007,Qtr 3,August,20,20/08/2007,Japan,Boeing,Boeing 737 809B,Okinawa Japan,Airlines China,165,0,0,0
1958,Qtr 3,September,9,09/09/1958,Japan,Lockheed,Lockheed L 1049H Super ConstellationN6920C,Mount Oyama Japan,Line Tiger Flying,8,8,0,8
1938,Qtr 3,August,10,10/08/1938,Japan,Douglas,Douglas DF 151J,Shishijima Japan,Nippon Dai,6,6,0,6
1971,Qtr 3,July,3,03/07/1971,Japan,NAMC,NAMC YS 11A,Hokkaido Japan,(Japan) Airline Domestic Toa,68,68,0,68
1958,Qtr 3,August,12,12/08/1958,Japan,Douglas,Douglas DC 3JA5045,Sakiya Saugye Japan,Airways Nippon All,33,33,0,33
1952,Qtr 2,April,9,09/04/1952,Japan,Martin,Martin 202N93043,Mihara Volcano Japan,Lines Air Japan,37,37,0,37
1962,Qtr 3,September,3,03/09/1962,Japan,Lockheed,Lockheed P2V 7KA,Yanoyaki Japan,Force Defense Self Maritime Japan - Military,12,12,1,13
1950,Qtr 2,April,21,21/04/1950,Japan,Douglas,Douglas C 54D42,Near Atsugi Japan,Force Air U.S. - Military,35,35,0,35
1999,Qtr 3,July,23,23/07/1999,Japan,Boeing,Boeing B 747JA8966,Tokyo Japan,Airways Nippon All,517,1,0,1
1946,Qtr 4,December,10,10/12/1946,Japan,Curtiss,Curtiss  Wright C,Near Osaka Japan,Forces Air Army U.S. - Military,24,24,0,24
1983,Qtr 2,April,26,26/04/1983,Japan,Shin,Shin Meiwa PS 15801,Iwakuni AB Japan,Force Defense Self Maritime Japan - Military,14,11,0,11
1970,Qtr 3,July,27,27/07/1970,Japan,McDonnell,McDonnell Douglas DC 8,Tokyo Japan,Line Tiger Flying,4,4,0,4
1971,Qtr 3,July,30,30/07/1971,Japan,Boeing,Boeing B 727,Near Morioko Japan,Force Air Japanese  / Airways Nippon All,164,163,0,163
1960,Qtr 1,January,21,21/01/1960,Jamaica,Lockheed,Lockheed 1049E Super ConstellationHK 177,Montego Bay Jamacia,Avianca,46,37,0,37
1953,Qtr 2,April,10,10/04/1953,Jamaica,Lockheed,Lockheed 18 56 LodeStarVP,Off Kingston Jamaica,Airways International Caribbean,13,13,0,13
2017,Qtr 4,October,14,14/10/2017,Ivory,Antonov,Antonov An 26,Abidjan Ivory,Charter Cargo International CoastValan,10,4,0,4
2000,Qtr 1,January,30,30/01/2000,Ivory,Airbus,AirbusA310  3045Y,Off Abidjan Ivory,Airways CoastKenya,179,169,0,169
1945,Qtr 2,May,30,30/05/1945,Ivory,Douglas,Douglas C 47B,Off Drewin Ivory,Forces Air Army U.S. - CoastMilitary,21,21,0,21
1994,Qtr 2,June,26,26/06/1994,Ivory,Fokker,Fokker F 27 Friendship 400MTU,Abidjan Ivory,Ivorie CoastAir,17,17,0,17
1987,Qtr 1,January,3,03/01/1987,Ivory,Boeing,Boeing B 707,Abidjan Ivory,CoastVarig,51,50,0,50
1954,Qtr 1,January,14,14/01/1954,Italy,Douglas,Douglas DC 6PI,Rome Italy,Lines Air Philippine,16,16,0,16
1954,Qtr 1,January,10,10/01/1954,Italy,de Havilland,de Havilland DH106 Comet 1G ALYP,Off Elba Italy,Airways Overseas British,35,35,0,35
1987,Qtr 4,October,15,15/10/1987,Italy,Aerospatiale,Aerospatiale Alenia ATR 42,Mt. Crezzo Italy,Italiani Transporti Aero,37,37,0,37
1938,Qtr 2,April,30,30/04/1938,Italy,Junkers,Junkers JU 52I,Near Formia Italy,Littoria Ala,19,19,0,19
2006,Qtr 3,August,13,13/08/2006,Italy,Lockheed,Lockheed L 100,Near Piacenza Italy,Algerie Air,3,3,0,3
1919,Qtr 3,August,2,02/08/1919,Italy,Caproni,Caproni Ca.48,Verona Italy,Company Caproni,14,14,0,14
1948,Qtr 4,December,31,31/12/1948,Italy,Douglas,Douglas DC 3ZS,Mt. Argentari Italy,Charter Air African Pan,13,13,0,13
1959,Qtr 1,January,27,27/01/1959,Italy,Avro,Avro 688G AGRG,Brindisi Italy,Charter Air,6,2,0,2
1973,Qtr 4,December,17,17/12/1973,Italy,Boeing,Boeing B 707,Rome Italy,Airways World American Pan,177,30,0,30
1974,Qtr 1,January,1,01/01/1974,Italy,Fokker,Fokker F 28 Fellowship 1000I,Near Turin Italy,Itavia,42,38,0,38
1949,Qtr 2,June,23,23/06/1949,Italy,Lockheed,Lockheed 749 79,Off Bari Italy,Airlines Dutch Royal KLM,33,33,0,33
1929,Qtr 4,October,26,26/10/1929,Italy,Shorts,Short Calcutta (flying boat)G AADN,Off Spezia Italy,Airways Imperial,7,7,0,7
1940,Qtr 1,February,10,10/02/1940,Italy,Savoia,Savoia  Marchetti SM,Near Cosenza Italy,SA Littoria Ala,10,10,0,10
1940,Qtr 1,March,16,16/03/1940,Italy,Savoia,Savoia Marchetti SM 73I  SUTO,Stromboli Island Italy,Littoria Ala,14,14,0,14
1969,Qtr 2,May,25,25/05/1969,Italy,Fokker,Fokker F 27 Friendship 600I,Reggio di Calabria Italy,Italiani Transporti Aero,36,1,0,1
1955,Qtr 1,February,13,13/02/1955,Italy,Douglas,Douglas DC 6OO,Abruzzio Mountains Italy,Sabena,29,29,0,29
1948,Qtr 4,December,6,06/12/1948,Italy,Douglas,Douglas C 47I,Milan Italy,Italiane Linee ItalianeAvio Linee Avio,7,7,0,7
1953,Qtr 1,January,15,15/01/1953,Italy,Vickers,Vickers Valetta Mk1 / Avero LancasterVX562 / TX270,25 nm off Agrigento Italy,Force Air -Royal Military,26,26,0,26
2005,Qtr 3,August,6,06/08/2005,Italy,ATR,ATR  72,Off Palermo Italy,Tuninter,39,16,0,16
1999,Qtr 1,February,25,25/02/1999,Italy,Dornier,Dornier 328 110D,Genoa Italy,Airlines Minerva,31,4,0,4
1945,Qtr 1,February,2,02/02/1945,Italy,Douglas,Douglas C 47,Near Montieri Italy,Forces Air Army U.S. - Military,26,23,0,23
1977,Qtr 1,March,3,03/03/1977,Italy,Lockheed,Lockheed C 130HMM61995,Near Cascina Italy,Force Air Italian - Military,44,44,0,44
1990,Qtr 4,November,25,25/11/1990,Italy,Aerospatiale,Aerospatiale 330J PumaI EHPA,Off Ravenna Italy,Eitos,13,13,0,13
1937,Qtr 4,December,5,05/12/1937,Italy,Shorts,Short Empire Flying BoatG ADUZ,Brindisi Harbor Italy,Airways Imperial,19,2,0,2
2001,Qtr 4,October,8,08/10/2001,Italy,MD,MD  87 / Cessna 525A Citation IISE,Milan Italy,Private / (SAS) Airlines Scandinavian,114,114,4,118
1970,Qtr 2,April,25,25/04/1970,Italy,Fairchild,Fairchild C 119GMM52,Rivolto Italy,Force Air Italian - Military,19,17,0,17
1949,Qtr 2,May,4,04/05/1949,Italy,Fiat,FIAT G 212CPI,Superga Italy,Italiane Linee Avio,31,31,0,31
1972,Qtr 4,October,30,30/10/1972,Italy,Fokker,Fokker F 27 Friendship 200I,Poggiorsini Italy,Italiani Transporti Aero,27,27,0,27
1945,Qtr 4,November,11,11/11/1945,Italy,Boeing,Boeing B 17G43,Near Picinisco Italy,Forces Air Army U.S. - Military,20,20,0,20
1977,Qtr 4,November,19,19/11/1977,Italy,Boeing,Boeing 707 360CET,Rome Italy,Airlines Ethiopian,5,5,0,5
1968,Qtr 3,August,2,02/08/1968,Italy,McDonnell,McDonnell Douglas DC 8I,Near Milan Italy,Alitalia,95,13,0,13
1988,Qtr 4,October,17,17/10/1988,Italy,Boeing,Boeing B 707,Rome Italy,Airlines Uganda,52,33,0,33
1954,Qtr 2,April,8,08/04/1954,Italy,de Havilland,de Havilland DH106 Comet 1G ALYY,Off Stromboli Italy,leased from British Overseas Airways         Airways African South,21,21,0,21
2003,Qtr 2,June,1,01/06/2003,Italy,Gates,Gates Learjet 45I ERJC,Milan Italy,Italila Eurojet,2,2,0,2
1941,Qtr 3,July,30,30/07/1941,Italy,Macchi,Macchi C.100I PACE,Rome Italy,Littoria Ala,25,5,0,5
1937,Qtr 4,December,5,05/12/1937,Italy,Shorts,Short S 23 (flying boat)G,Brindisi Italy,Airways Imperial,8,2,0,2
1938,Qtr 3,July,14,14/07/1938,Italy,Savoia,Savoia Marchetti S 66I,Off Sardinia Italy,Littoria Ala,20,20,0,20
1971,Qtr 4,November,9,09/11/1971,Italy,Lockheed,Lockheed C 130K HerculesXV216,Off Livorno Italy,Force Air Royal - Military,52,52,0,52
1972,Qtr 2,April,16,16/04/1972,Italy,Fokker,Fokker F 27 Friendship 200I,Near Ardinello di Amaseno Italy,Italiani Transporti Aero,18,18,0,18
1954,Qtr 4,October,24,24/10/1954,Italy,Douglas,Douglas C 47A,Near Nice Italy,Force Air U.S. - Military,21,21,0,21
1959,Qtr 4,December,21,21/12/1959,Italy,Vickers,Vickers 785D ViscountI LIZT,Rome Italy,Alitalia,2,2,0,2
1947,Qtr 4,November,28,28/11/1947,Italy,Douglas,Douglas C 47B43,Near Trappa Italy,Force Air U.S. - Military,20,20,0,20
1947,Qtr 1,February,15,15/02/1947,Italy,Savoia,Savoia  Marchetti SM,Off Terracina Italy,Militari Aerei Corrieri - Military,16,16,0,16
1947,Qtr 4,November,18,18/11/1947,Italy,Bristol,Bristol 170 Freighter XISE BNG,Ravello Italy,Trafik-Turist-Transportflyg,25,20,0,20
1966,Qtr 1,February,18,18/02/1966,Italy,Douglas,Douglas DC 6BOO,Near Milan Italy,Services Air International Belgian,4,4,0,4
1962,Qtr 1,March,8,08/03/1962,Italy,Douglas,Douglas DC 6BI,Rome Italy,Mediterranea Aerea Societa,5,5,0,5
1984,Qtr 3,July,12,12/07/1984,Italy,Lockheed,Lockheed C 141B64,Sigonella AFB Italy,Force Air U.S. - Military,9,9,0,9
1995,Qtr 4,December,13,13/12/1995,Italy,Antonov,Antonov AN 24BYR,Verona  - Villafranca Italy,Air Banat Romanian,49,49,0,49
1978,Qtr 4,December,16,16/12/1978,Italy,Cessna,Cessna 421 Golden EagleI ASON,Selvapiana Italy,70 Air,10,10,0,10
1952,Qtr 1,February,16,16/02/1952,Italy,Vickers,Vickers 614 Viking 1G AHPI,Near Burgio Italy,Travel Air Hunting,31,31,0,31
1964,Qtr 4,November,23,23/11/1964,Italy,Boeing,Boeing B 707,Rome Italy,Airlines World Trans,73,50,0,50
1936,Qtr 2,April,15,15/04/1936,Italy,OFM,OFM F VIIb/3mI,Near Turin Italy,Italiane Linee Avio,7,7,0,7
1951,Qtr 1,January,17,17/01/1951,Italy,Savoia,Savoia Marchetti SM 95I,Near Civitavecchia Italy,Alitalia,17,14,0,14
1960,Qtr 4,October,14,14/10/1960,Italy,de Havilland,de Havilland DH 114 Heron 2I,Elba Italy,Itavia,11,11,0,11
1938,Qtr 3,August,18,18/08/1938,Italy,Macchi,Macchi C 94I,Montnago Italy,Macchi,15,15,0,15
1996,Qtr 4,October,8,08/10/1996,Italy,Antonov,Antonov AN 124RA,San Francesco al Campo Italy,Aeroflot,23,2,2,4
1964,Qtr 1,March,28,28/03/1964,Italy,Vickers,Vickers Viscount 785DI LAKE,Mt. Vesuvius Italy,Alitalia,45,45,0,45
1940,Qtr 4,December,24,24/12/1940,Italy,Savoia,Savoia  Marchetti SM.75 I,Capri Island Italy,Littolia Ala,7,7,0,7
1960,Qtr 3,September,29,29/09/1960,Italy,Vickers,Vickers Viscount 739BSU AKW,Off Elba Italy,Airlines Arab United,21,21,0,21
1962,Qtr 3,July,9,09/07/1962,Italy,Douglas,Douglas DC 4OD,Off Brindisi Italy,Airways Mediterranean Trans,6,6,0,6
1942,Qtr 2,May,19,19/05/1942,Italy,Savoia,Savoia  Marchetti SM,Near Rome Italy,LATI,20,20,0,20
1946,Qtr 2,June,1,01/06/1946,Italy,Douglas,Douglas C 54,Off Amalfi Italy,Forces Air Army U.S. - Military,38,30,0,30
