Year,Quarter,Month,Day,Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Aboard,Fatalities (air),Ground,Casualties
1957,Qtr 4,November,4,04/11/1957,Russia,Ilyushin,Ilushin Il 14YR,Moscow Russia,TAROM,16,4,0,4
1995,Qtr 2,June,16,16/06/1995,Russia,Antonov,Antonov 2RCCCP 68142,Volgograd Russia,Air Volga,12,12,0,12
1995,Qtr 2,June,16,16/06/1995,Russia,Antonov,Antonov AN 2RA,Herputchi Russia,Aeroflot,14,13,0,13
1957,Qtr 4,December,18,18/12/1957,Russia,Ilyushin,Ilyushin IL 12CCCP,Near Birobidzhan Russia,Aeroflot,27,27,0,27
1995,Qtr 4,December,7,07/12/1995,Russia,Tupolev,Tupolev TU 154BRA,Near Grossevichi Russia,Aviation East Far,98,98,0,98
1942,Qtr 4,October,22,22/10/1942,Russia,GVF,GVF PS 84CCCP,Yanaul Russia,Aeroflot,12,10,0,10
1963,Qtr 4,October,20,20/10/1963,Russia,Ilyushin,Ilyushin IL 14CCCP,Hayes Island Russia,Aeroflot,7,7,0,7
1949,Qtr 2,May,13,13/05/1949,Russia,Ilyushin,Ilyushin IL 12L1791,Near  Novosibirsk Russia,Aeroflot,25,25,0,25
1973,Qtr 1,February,24,24/02/1973,Russia,Ilyushin,Ilyushin IL 18CCCP,Near Leningrad Russia,Aeroflot,79,79,0,79
1984,Qtr 4,December,4,04/12/1984,Russia,LET,LET 410 MCCCP 67225,Near Kostroma USSRAeroflot,N/A,17,17,0,17
1973,Qtr 2,May,11,11/05/1973,Russia,Ilyushin,Ilyushin IL 18BSSR,Near Semipalatinsk USSRAeroflot,N/A,61,61,0,61
1973,Qtr 1,March,3,03/03/1973,Russia,Ilyushin,Ilyushin IL 18VLZ,Moscow USSRBalkan,Airlines Bulgarian,25,25,0,25
1988,Qtr 4,October,4,04/10/1988,Russia,Antonov,Antonov 12BPCCCP 11418,Near Batagay Russia,Aeroflot,6,6,0,6
1973,Qtr 1,January,21,21/01/1973,Russia,Antonov,Antonov AN 24BCCCP,Perm Russia,Aeroflot,39,39,0,39
1949,Qtr 2,April,29,29/04/1949,Russia,sunov,Lisunov Li 2SSSR,Near Mironovo Russia,Aeroflot,24,14,0,14
1978,Qtr 4,October,7,07/10/1978,Russia,Yakovlev,Yakovlev YAK 40CCCP,Sverdlovsk Russia,Aeroflot,38,38,0,38
1972,Qtr 4,November,28,28/11/1972,Russia,McDonnell,McDonnell Douglas DC 8,Near Moscow Russia,Lines Air Japan,76,62,0,62
1984,Qtr 4,October,11,11/10/1984,Russia,Tupolev,Tupolev TU 154BCCCP,Near Omsk Russia,Aeroflot,179,174,4,178
1950,Qtr 3,July,30,30/07/1950,Russia,Ilyushin,Ilyushin IL 12L,Karaganda Russia,Aeroflot,25,25,0,25
1988,Qtr 4,December,7,07/12/1988,Russia,LET,Let 410UVPCCCP 67127,Kodinsk Russia,Aeroflot,14,6,0,6
1949,Qtr 3,July,21,21/07/1949,Russia,Ilyushin,Ilyushin IL 12L1714,Marga Russia,Aeroflot,14,13,0,13
2004,Qtr 3,August,24,24/08/2004,Russia,Tupolev,Tupolev 154B 2RA,Near Rostov-on-Don Russia,Airlines Sibir,46,46,0,46
2004,Qtr 3,August,24,24/08/2004,Russia,Tupolev,Tupolev 134A 3RA,Near Toula Russia,Express Volga-Avia,41,41,0,41
1988,Qtr 2,April,19,19/04/1988,Russia,LET,Let 410UVP TuroletCCCP67518,Bagdarin USSRAeroflot,N/A,17,17,0,17
2003,Qtr 1,March,1,01/03/2003,Russia,LET,Let L 410UVPFLARF,Near Barki Russia,skydiving - Kabanov - Private,25,11,0,11
1973,Qtr 3,September,30,30/09/1973,Russia,Tupolev,Tupolev TU 104BCCCP,Near Sverdlovsk Russia,Aeroflot,108,108,0,108
1978,Qtr 2,April,20,20/04/1978,Russia,Boeing,Boeing B 707,Near Murmansk Russia,Airlines Korean,109,2,0,2
1988,Qtr 3,August,26,26/08/1988,Russia,LET,Let 410MUCCCP 67235,Irkutsk Russia,Aeroflot,4,4,0,4
2019,Qtr 2,May,5,05/05/2019,Russia,Sukhoi,Sukhoi Superjet 100,Moscow Russia,Airlines International Russian Aeroflot,78,41,0,41
1978,Qtr 2,May,19,19/05/1978,Russia,Tupolev,Tupolev TU 154BCCCP,Pochinok Russia,Aeroflot,134,4,0,4
1973,Qtr 3,July,9,09/07/1973,Russia,Tupolev,Tupolev Tu 124VCCCP,Nnear Kuybyshev Russia,Aeroflot,61,2,0,2
1973,Qtr 3,July,4,04/07/1973,Russia,Ilyushin,Ilyushin IL 14CCCP,Near Shakhtyorsk Russia,Aeroflot,18,18,0,18
1984,Qtr 4,December,23,23/12/1984,Russia,Tupolev,Tupolev TU 154B,Near Kranoyarsk Russia,Aeroflot,111,110,0,110
1954,Qtr 4,October,28,28/10/1954,Russia,Ilyushin,Ilyushin IL  12 CCCP,Krasnoyarsk Territory Russia,Aeroflot,16,16,0,16
1971,Qtr 4,December,1,01/12/1971,Russia,Antonov,Antonov AN 24CCCP,Saratov Russia,Aeroflot,57,57,0,57
1971,Qtr 4,November,12,12/11/1971,Russia,Antonov,Antonov AN 24CCCP,Vinnitsa Russia,Aeroflot,48,48,0,48
1984,Qtr 1,January,28,28/01/1984,Russia,Antonov,Antonov AN 24RVCCCP,Izhevsk Russia,Aeroflot,51,4,0,4
1972,Qtr 2,May,4,04/05/1972,Russia,Yakovlev,Yakovlev YAK 40CCCP,Bratsk USSRAeroflot,N/A,18,18,0,18
1954,Qtr 3,September,27,27/09/1954,Russia,Ilyushin,Ilyushin IL 12CCCP,Novosibirsk Russia,Aeroflot,29,29,0,29
1952,Qtr 1,March,26,26/03/1952,Russia,N/A,N/A,Moscow Russia,Aeroflot,70,70,0,70
1971,Qtr 4,October,10,10/10/1971,Russia,Tupolev,Tupolev TU 104BCCCP,Moscow Russia,Aeroflot,25,25,0,25
2005,Qtr 1,March,16,16/03/2005,Russia,Antonov,Antonov 24RA 46489,Varandey Russia,Airlines Regional,52,28,0,28
1971,Qtr 3,September,16,16/09/1971,Russia,Douglas,Douglas DC 34W,Presevo Russia,Airlines Yemen,5,5,0,5
1989,Qtr 4,October,18,18/10/1989,Russia,Ilyushin,Ilyushin IL 76MDCCCP,Nasosny Russia,Force Air Russian - Military,57,57,0,57
1979,Qtr 1,March,17,17/03/1979,Russia,Tupolev,Tupolev TU 104BCCCP,Near Moscow Russia,Aeroflot,119,58,0,58
1989,Qtr 4,October,20,20/10/1989,Russia,Ilyushin,Ilyushin IL 76TDCCCP,Leninakan Russia,Aeroflot,15,15,0,15
