Year,Quarter,Month,Day,Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Aboard,Fatalities (air),Ground,Casualties
1994,Qtr 4,November,5,1994-11-05,Peru,Yakovlev,Yakovlev Yak 40Ob,Saposa Peru,Amazonica Sa,30,6,0,6
1989,Qtr 1,March,10,1989-03-10,Peru,Britten,Britten Norman Bn 2A Trislanderob,Lima Peru,Condor Aero,10,10,0,10
1992,Qtr 4,October,21,1992-10-21,Peru,De Havilland,De Havilland Canada Dhc 6 Twin Otter 300Fap306,Near Lake Caballochoa Peru,Force Air Peruvian - Military,11,8,0,8
1967,Qtr 4,December,8,1967-12-08,Peru,Douglas,Douglas Dc C,Carpich Huanuco Mt. Peru,Faucett,72,72,0,72
1964,Qtr 4,December,24,1964-12-24,Peru,Douglas,Douglas Dc 3Ob,Yurimaguas Peru,Satco,23,1,0,1
1988,Qtr 4,October,25,1988-10-25,Peru,Fokker,Fokker F 28 Fellowship 1000Ob,Juliaca Peru,Peru Aero,69,12,0,12
1949,Qtr 1,February,10,1949-02-10,Peru,Douglas,Douglas Dc 3Ob,Near Huanuco Peru,Faucett,16,16,0,16
1950,Qtr 4,November,23,1950-11-23,Peru,Douglas,Douglas Dc 3Ob,Cuzco Peru,Faucett,9,9,0,9
2003,Qtr 1,January,9,2003-01-09,Peru,Fokker,Fokker 28 Fellowship 1000Ob 1396,Near Chachapoyas Peru,Airlines Tans,46,46,0,46
1959,Qtr 2,May,13,1959-05-13,Peru,Curtiss,Curtiss C 46Aob,Near Toumavista Peru,Peruanos Aereos Transportes,12,12,0,12
1943,Qtr 1,January,22,1943-01-22,Peru,Douglas,Douglas Dc 3Anc33645,Near Chaparra Peru,Airlines Grace American Pan,15,14,0,14
1955,Qtr 4,October,2,1955-10-02,Peru,Douglas,Douglas C54Aob Paz,Pico Oiriruma-Vinac Peru,Faucett,35,19,0,19
1996,Qtr 1,February,29,1996-02-29,Peru,Boeing,Boeing B 737,Arequipa Peru,(Peru) Sa Faucett Aviacion De Compania,123,123,0,123
1998,Qtr 1,March,28,1998-03-28,Peru,Antonov,Antonov An 32Ob,Piura Peru,Peru Del Aérea Fuerza,55,22,1,23
1949,Qtr 1,February,24,1949-02-24,Peru,Douglas,Douglas C 47,Near Cuzco Peru,(Peru) Tam,26,22,0,22
1990,Qtr 3,July,31,1990-07-31,Peru,Beech,Beech King Air B90Ob 1362,Near Huanuco Peru,Nacional Expresso Servicio,9,9,0,9
1987,Qtr 4,December,8,1987-12-08,Peru,Fokker,Fokker F 27 Friendship 400Mae,Off Lima Peru,Aviation Naval Peruvian,43,42,0,42
1989,Qtr 4,October,10,1989-10-10,Peru,Cessna,Cessna 402C Utililinerob T,Urpay Peru,Tausa,12,12,0,12
2005,Qtr 2,April,28,2005-04-28,Peru,Let,Let 410Uvpep 830,Pisco Peru,Peru Del Fuerza - Military,13,13,0,13
2005,Qtr 3,August,23,2005-08-23,Peru,Boeing,Boeing B 737,Near Pucallpa Peru,Peru Tans,98,40,0,40
2022,Qtr 4,November,18,2022-11-18,Peru,Airbus,Airbus 320 271Ncc,Lima Peru,Latam,108,0,2,2
1972,Qtr 2,April,20,1972-04-20,Peru,Douglas,Douglas C 47Dob,Near Moyobamba Peru,Satco,6,6,0,6
1962,Qtr 3,August,24,1962-08-24,Peru,Douglas,Douglas Dc 3Ob,Cerro Puena Paz Peru,Faucett,9,9,0,9
1962,Qtr 1,February,4,1962-02-04,Peru,Douglas,Douglas Dc 3Ob,Near Tino Maria Peru,Faucett,18,18,0,18
1970,Qtr 2,June,10,1970-06-10,Peru,Fokker,Fokker F 27 Friendship 400Mtc,Near Huaricanga Peru,Lade - Military,8,5,0,5
1976,Qtr 4,December,31,1976-12-31,Peru,Douglas,Douglas C 54A,Near Trujillo Peru,Faucett,19,19,0,19
1970,Qtr 3,August,9,1970-08-09,Peru,Lockheed,Lockheed 188A Electraob R939,Near Cuzco Peru,(Peru) Sa Nacionales Aereas Lineas,100,99,2,101
1934,Qtr 1,March,22,1934-03-22,Peru,Ford,Ford 5 At,Near Lima Peru,Airlines Grace American Pan,15,3,0,3
1966,Qtr 2,April,27,1966-04-27,Peru,Lockheed,Lockheed 749A Constellationob R,Tomas Peru,Lansa,49,49,0,49
1987,Qtr 2,June,18,1987-06-18,Peru,Antonov,Antonov An 26Fap,Near Montelillo Peru,Force Air Peruvian - Military,46,46,0,46
1971,Qtr 1,January,21,1971-01-21,Peru,Curtiss,Curtiss  Wright C,Near Pacae Peru,Peru Del Aérea Fuerza,35,35,0,35
1964,Qtr 2,May,8,1964-05-08,Peru,Douglas,Douglas C 54T,Near Lima Peru,Argentina Aérea Fuerza,49,46,0,46
1996,Qtr 4,October,2,1996-10-02,Peru,Boeing,Boeing B 757,Off Pasamayo Peru,Aeroperu,70,70,0,70
1994,Qtr 1,February,25,1994-02-25,Peru,Yakovlev,Yakovlev Yak 40Ob,Near Carpish Peru,Aéreo Expresso,31,31,0,31
1947,Qtr 3,August,23,1947-08-23,Persian,Shorts,Short Sandringham 5 (Flying Boat)G Ahzb,Bahrain Persian,Airways Overseas Gulfbritish,26,10,0,10
1985,Qtr 4,October,11,1985-10-11,Pennsylvania,De Havilland,De Havilland Canada Dhc 6 Twin Otter 200N3257,Homer City Pennsylvania,Cargo Air Mountain,1,1,0,1
1970,Qtr 4,October,4,1970-10-04,Pennsylvania,Aero,Aero Commander 500 Bn701X,Mahaffey Pennsylvania,Private,2,2,0,2
1946,Qtr 3,July,11,1946-07-11,Pennsylvania,Lockheed,Lockheed L 049 Constellationnc86513,Reading Pennsylvania,Air Western And Continental Trans,6,5,0,5
1936,Qtr 4,December,19,1936-12-19,Pennsylvania,Douglas,Douglas Dc 2,Near Milford Pennsylvania,Lines Air Eastern,11,0,0,0
1923,Qtr 1,February,26,1923-02-26,Pennsylvania,De Havilland,De Havilland Dh 4291,Meadville Pennsylvania,Service Mail Aerial Us,1,1,0,1
1931,Qtr 2,May,24,1931-05-24,Pennsylvania,Boeing,Boeing 95Nc397E,Bellefonte Pennsylvania,Transport Air National,1,1,0,1
1935,Qtr 1,January,26,1935-01-26,Pennsylvania,Consolidated,Consolidated Fleetsternc13212,Pittsburgh Pennsylvania,Air Western And Continental Trans,1,1,0,1
1969,Qtr 1,January,6,1969-01-06,Pennsylvania,Convair,Convair Cv 580N5825,Near Bradford Pennsylvania,Airlines Allegheny,28,11,0,11
1954,Qtr 4,December,22,1954-12-22,Pennsylvania,Douglas,Douglas Dc 3N24320,Pittsburgh Pennsylvania,Service Flying Johnson,28,10,0,10
1983,Qtr 4,October,28,1983-10-28,Pennsylvania,Shorts,Shorts 330 200N26288,Middletown Pennsylvania,Airlines Pennsylvania,30,1,0,1
1924,Qtr 1,March,7,1924-03-07,Pennsylvania,De Havilland,De Havilland Dh 4327,Grampian Pennsylvania,Service Mail Aerial Us,1,1,0,1
1919,Qtr 3,July,19,1919-07-19,Pennsylvania,De Havilland,De Havilland Dh 482,Dix Run Pennsylvania,Service Mail Aerial Us,1,1,0,1
1974,Qtr 1,January,6,1974-01-06,Pennsylvania,Beechcraft,Beechcraft 99An125Ae,Johnstown Pennsylvania,East Air,17,12,0,12
1948,Qtr 2,June,17,1948-06-17,Pennsylvania,Douglas,Douglas Dc 6Nc37506,Mount Carmel Pennsylvania,Lines Air United,43,43,0,43
1928,Qtr 4,October,18,1928-10-18,Pennsylvania,Douglas,Douglas M 4Nc1064,Polk Pennsylvania,Transport Air National,1,1,0,1
1991,Qtr 2,April,4,1991-04-04,Pennsylvania,Piper,Piper Aerostar 601 / Bell 412Spn3645D / N78S,Marion Pennsylvania,Private,5,5,2,7
1984,Qtr 2,May,30,1984-05-30,Pennsylvania,Lockheed,Lockheed L 188Af Electran5523,Chalkhill Pennsylvania,Airlines International Zantop,4,4,0,4
2018,Qtr 2,April,17,2018-04-17,Pennsylvania,Boeing,Boeing 737 7H4N722Sw,Nw Of Philadelphia Pennsylvania,Airlines Southwest,149,1,0,1
1994,Qtr 3,September,8,1994-09-08,Pennsylvania,Boeing,Boeing B 737,Near Aliquippa Pennsylvania,Usair,132,132,0,132
1937,Qtr 1,March,25,1937-03-25,Pennsylvania,Douglas,Douglas Dc 2,Clifton Pennsylvania,Air Western And Continental Trans,13,13,0,13
2001,Qtr 4,November,22,2001-11-22,Pennsylvania,Learjet,Learjet 25Bn5Uj,Pittsburgh Pennsylvania,Aviation Jet Universal,2,2,0,2
1967,Qtr 2,June,23,1967-06-23,Pennsylvania,Bac,Bac One Eleven 204Afn1116J,Blossburg Pennsylvania,Airlines Mohawk,34,34,0,34
1936,Qtr 2,April,7,1936-04-07,Pennsylvania,Douglas,Douglas Dc 2,Uniontown Pennsylvania,Air Western And Continental Trans,14,12,0,12
1956,Qtr 2,April,1,1956-04-01,Pennsylvania,Martin,Martin 404N40403,Pittsburgh Pennsylvania,Airlines World Trans,36,22,0,22
2000,Qtr 2,May,21,2000-05-21,Pennsylvania,Bae,Bae Jetstream 3101 31N16Ej,Near Wilkes-Barre Pennsylvania,Airlines Executive,19,19,0,19
1920,Qtr 3,September,27,1920-09-27,Pennsylvania,De Havilland,De Havilland Dh 4316,Hillersburg Pennsylvania,Service Mail Aerial Us,1,1,0,1
1971,Qtr 4,October,24,1971-10-24,Pennsylvania,Beechcraft,Beechcraft B99N986Ma,Bath Pennsylvania,Airways Monmouth,8,4,0,4
1968,Qtr 4,December,24,1968-12-24,Pennsylvania,Convair,Convair Cv 580N5802,Bradford Pennsylvania,Airlines Allegheny,47,20,0,20
1959,Qtr 4,December,1,1959-12-01,Pennsylvania,Martin,Martin 202N174A,Willamsport Pennsylvania,Airlines Allegheny,26,25,0,25
1936,Qtr 3,September,5,1936-09-05,Pennsylvania,Stinson,Stinson Sm 6000Bnc117S,Near Pittsburgh Pennsylvania,Inc. Skyways Pittsburgh,11,10,0,10
1951,Qtr 1,January,14,1951-01-14,Pennsylvania,Douglas,Douglas Dc 4,Philadelphia Pennsylvania,Airlines National,28,7,0,7
1946,Qtr 1,February,21,1946-02-21,Pe,Consolidated,Consolidated 32 2 Liberator Iig,Charlottetown Pe,Canada British Overseas Airways,14,1,0,1
1966,Qtr 1,March,20,1966-03-20,Paraguay,Curtiss,Curtiss C 46Fn1245N,Asuncion Paraguay,Americanos Servicios,2,2,0,2
1955,Qtr 2,June,16,1955-06-16,Paraguay,Lockheed,Lockheed 049 46,Near Asuncion Paraguay,Brasil Do Panair,24,16,0,16
1996,Qtr 1,February,4,1996-02-04,Paraguay,Mcdonnell,Mcdonnell Douglas Dc 8,Asuncion Paraguay,Caribe Del Aereas Lineas,4,4,24,28
1994,Qtr 3,September,28,1994-09-28,Paraguay,Douglas,Douglas C 47Dfap2009,Bahia Negra Paraguay,Paraguay Tam,27,1,0,1
1959,Qtr 3,August,27,1959-08-27,Paraguay,De Havilland,De Havilland Dh 106 Comet 4Lv,Near Asuncion Paraguay,Argentinas Aerolineas,50,2,0,2
2003,Qtr 3,July,1,2003-07-01,Para,Mitsubishi,Mitsubishi Mu 2B 35Pt Lfx,Belem Para,Brazil Heringer Air Taxi,4,4,0,4
2000,Qtr 2,April,29,2000-04-29,Papua,Britten,Britten  Norman Bn,Bapi Papua,Aviation Coast Guineanorth New,4,4,0,4
1951,Qtr 4,December,13,1951-12-13,Papua,De Havilland,De Havilland Dh 84 Dragonvh,Yaramunda Papua,New Guinea Qantas,3,3,0,3
1984,Qtr 3,September,6,1984-09-06,Papua,Britten,Britten  Norman Bn,Mt. Musaka Papua,New Guinea Talair,11,9,0,9
1937,Qtr 3,August,27,1937-08-27,Papua,Stinson,Stinson Sr 7 Reliantvh,Wau Papua,Airways Guineaguinea New,1,1,1,2
2015,Qtr 3,August,16,2015-08-16,Papua,Atr,Atr 42 300Pk,Tangok Mountain Papua,Service Air Trigana,54,54,0,54
1995,Qtr 3,July,1,1995-07-01,Papua,De Havilland,De Havilland Canada C 7A Cariboup2,Kiunga Papua,Aviation Guineagaramut New,3,3,0,3
1992,Qtr 2,April,16,1992-04-16,Papua,Embraer,Embraer 110P1 Bandeirantep2 Rds,Near Goroka Papua,Guineatalair New,15,11,0,11
2002,Qtr 4,December,13,2002-12-13,Papua,Britten,Britten  Norman Bn,Gohu Airstrip Papua,Ltd. Airways Guineaisland New,8,8,0,8
1979,Qtr 4,December,23,1979-12-23,Papua,Gaf,Gaf Nomad 22Bp2 Dnl,Menari Papua,Airways Guineadouglas New,16,16,0,16
2016,Qtr 4,December,18,2016-12-18,Papua,Lockheed,Lockheed C 130H Hercules  	A,Near Wamena Papua,Indonesia Indonesian Air Force,13,13,0,13
1995,Qtr 3,July,25,1995-07-25,Papua,Britten,Britten  Norman Bn,Near Karamui Papua,Airways Guineatransniugini New,2,2,0,2
2009,Qtr 3,August,11,2009-08-11,Papua,De Havilland,De Havilland Canada Dhc 6 Twin Otter 300P2,Near Port Moresby Papua,Png  Airlines Guinea New,13,13,0,13
2004,Qtr 3,July,29,2004-07-29,Papua,De Havilland,De Havilland Dhc 6 Twin Otter 300P2,Ononge Papua,Png Of Guineaairlines New,3,2,0,2
2011,Qtr 4,October,13,2011-10-13,Papua,De Havilland,De Havilland Canada Dhc 8,Near Madang Papua,Png Guineaairline New,32,28,0,28
1995,Qtr 3,July,12,1995-07-12,Papua,De Havilland,De Havilland Canada Dhc 6 Twin Otter 300P2,Gumey Papua,Air Bay Guineamilne New,15,15,0,15
1999,Qtr 1,February,3,1999-02-03,Papua,Britten,Britten Norman Bn 2A Trislanderp2,Hoskins Papua,Guineaairlink New,11,11,0,11
2005,Qtr 1,February,22,2005-02-22,Papua,De Havilland,De Havilland Dhc 6 Twin Otter 300P2,Bimin Papua,New Guinea Missionary Aviation Fellowship,13,2,0,2
1944,Qtr 3,July,23,1944-07-23,Papua,R,R4D  539090,Nineteen Miles W Of Kokoda Papua,Navy Us - Guineamilitary New,17,17,0,17
1996,Qtr 2,May,11,1996-05-11,Papua,Britten,Britten Norman Bn 2A,Oumba Papua,Air Bay Guineamilne New,10,1,0,1
1993,Qtr 2,June,9,1993-06-09,Papua,Britten,Britten  Norman  Bn,Gulgubip Papua,Air Guineasouthwest New,11,9,0,9
1945,Qtr 3,September,18,1945-09-18,Papua,Douglas,Douglas C 47B,Puncak Jaya Papua,Force Air Australian Royal - Guineamilitary New,29,29,0,29
2016,Qtr 2,April,13,2016-04-13,Papua,Britten,Britten  Norman Islanderp2,Kiunga Papua,Aviation Guineasunbird New,12,12,0,12
1972,Qtr 3,September,1,1972-09-01,Papua,Shorts,Shorts Sc 7 Skyvan 3,Mt. Giluwe Papua,New Guinea Ansett Airlines Of Papua New Guinea,4,4,0,4
1995,Qtr 4,December,22,1995-12-22,Papua,Britten,Britten Norman Bn 2A,Bagasin Papua,Airways Guineaisland New,12,2,0,2
1999,Qtr 2,June,17,1999-06-17,Papua,Embraer,Embraer 110P2 Bandeirantep2 Alx,Goroka Papua,Guineaairlink New,17,17,0,17
2014,Qtr 3,September,20,2014-09-20,Papua,De Havilland,De Havilland Canada Dhc 6 Twin Otter 300P2,Near Port Moresby Papua,Guineahevlift New,9,4,0,4
1990,Qtr 2,April,18,1990-04-18,Panama,De Havilland,De Havilland Canada Dhc 6 Twin Otter 200N187As,Off Contadora Panama,Aeroperlas,22,20,0,20
1952,Qtr 3,September,10,1952-09-10,Panama,Curtiss,Curtiss C 46,San Blas Panama,Colombia Sam,46,46,0,46
1937,Qtr 3,August,2,1937-08-02,Panama,Sirkorsky,Sikorsky S 43Nc15065,Off Cristobal Panama,Airways Grace American Pan,14,14,0,14
1992,Qtr 2,June,6,1992-06-06,Panama,Boeing,Boeing B 737,Tucuti Panama,(Panama) Copa,47,47,0,47
1973,Qtr 1,February,21,1973-02-21,Panama,Douglas,Douglas Dc 3Hp,Cerro Horqueta Panama,Urraca Aerovias,28,22,0,22
2008,Qtr 2,May,29,2008-05-29,Panama,Bell,Bell Un 1N Hueysan,Panama City Panama,Nacional Aereo Servicio - Military,12,11,0,11
1997,Qtr 4,December,31,1997-12-31,Panama,Britten,Britten Norman Bn 2A Trislanderhp,Rio Sidra Panama,Parsa,10,10,0,10
1946,Qtr 2,June,9,1946-06-09,Panama,Douglas,Douglas C 54D,Taboga Island Panama,Forces Air Army U.S. - Military,23,23,0,23
2000,Qtr 1,March,17,2000-03-17,Panama,De Havilland,De Havilland Canada Dhc 6 Twin Otter 300Hp,Near Kuna Yala Panama,Aeroperlas,10,10,0,10
1965,Qtr 3,August,4,1965-08-04,Panama,Douglas,Douglas C 54Dob,Panama City Panama,Peruanes Internacionales Rutas,7,7,0,7
1994,Qtr 3,July,19,1994-07-19,Panama,Embraer,Embraer 110P1 Bandeirantehp 1202Ac,Colon Panama,Chiricanas Alas,21,21,0,21
1935,Qtr 3,September,13,1935-09-13,Panama,Ford,Ford Tri Motor,Near Tambo Panama,Airways Panama,8,8,0,8
2003,Qtr 1,February,20,2003-02-20,Pakistan,Fokker,Fokker F 27 Friendship 20010254,Near Kohat Pakistan,Force Air Pakistan - Military,17,17,0,17
2010,Qtr 3,July,28,2010-07-28,Pakistan,Airbus,Airbus A321 231Ap,Islamabad Pakistan,Airblue,152,152,0,152
1949,Qtr 4,December,12,1949-12-12,Pakistan,Douglas,Douglas Dc 3Ap,Jungshahi Pakistan,Pakair,26,26,0,26
2010,Qtr 4,November,28,2010-11-28,Pakistan,Illyushin,Ilyushin Il 76Td4L,Karachi Pakistan,Way Sun,8,8,4,12
1970,Qtr 3,August,6,1970-08-06,Pakistan,Fokker,Fokker F 27 Friendship 200Ap,Islamabad Pakistan,Airlines International Pakistan,30,30,0,30
1948,Qtr 3,August,1,1948-08-01,Pakistan,Avro,Avro 691 Lancastrian (Flying Boat)Ap Acm,Karachi Pakistan,Onzeair,4,4,0,4
1949,Qtr 4,December,30,1949-12-30,Pakistan,Douglas,Douglas C 54A,Comilla Pakistan,Airways Bharat,7,7,0,7
1986,Qtr 4,October,23,1986-10-23,Pakistan,Fokker,Fokker F 27 Friendship 600Ap,Near Peshawar Pakistan,Airlines International Pakistan,54,13,0,13
2012,Qtr 2,April,20,2012-04-20,Pakistan,Boeing,Boeing 737 236Ap,Islamabad Pakistan,Airlines Bhoja,127,127,0,127
1965,Qtr 4,October,8,1965-10-08,Pakistan,Fokker,Fokker F 27 Friendship 200Ap,Near Patian Pakistan,Airlines International Pakistan,4,4,0,4
1987,Qtr 1,March,30,1987-03-30,Pakistan,Antonov,Antonov An 26,Near Parachinar Pakistan,Force Air Republican Afghan - Military,40,40,0,40
1967,Qtr 1,March,8,1967-03-08,Pakistan,At,At L98 Carvairf Bmhu,Karachi Pakistan,Transport Air Compagnie,6,4,7,11
1986,Qtr 3,September,5,1986-09-05,Pakistan,Boeing,Boeing B 747,Karachi Pakistan,Airways World American Pan,384,16,1,17
1962,Qtr 3,July,15,1962-07-15,Pakistan,Douglas,Douglas C 47Avt,Near Lahore Pakistan,Airlines Indian,3,1,0,1
2016,Qtr 4,December,7,2016-12-07,Pakistan,Atr,Atr  42,Near Havlien Pakistan,Airlines International Pakistan,48,48,0,48
1989,Qtr 3,August,25,1989-08-25,Pakistan,Fokker,Fokker F 27 Friendship 200Ap,Near Gilgit Pakistan,Airlines International Pakistan,54,54,0,54
2010,Qtr 4,November,5,2010-11-05,Pakistan,Beechcraft,Beechcraft 1900C 1Ap,Near Karachi Pakistan,Air Js,21,21,0,21
1948,Qtr 4,November,26,1948-11-26,Pakistan,Douglas,Douglas Dc 3Ap,Vehari Pakistan,Airways Pakistan,21,21,0,21
1953,Qtr 1,March,3,1953-03-03,Pakistan,De Havilland,De Havilland Dh106 Comet 1Acf Cun,Karachi Pakistan,Lines Air Pacific Canadian,11,11,0,11
1988,Qtr 3,September,19,1988-09-19,Pakistan,Antonov,Antonov An 26,Near Miram Pakistan,Force Air Republican Afghan - Military,34,34,0,34
1984,Qtr 3,August,4,1984-08-04,Pakistan,Antonov,Antonov An 12Bpcccp,Nawabshah Pakistan,Aeroflot,24,24,0,24
2006,Qtr 3,July,10,2006-07-10,Pakistan,Fokker,Fokker F 27 Friendship 200Ap,Multan Pakistan,Airlines International Pakistan,45,45,0,45
1998,Qtr 1,January,13,1998-01-13,Pakistan,Antonov,Antonov An 12Bpya,Tor Kach Pakistan,Airlines Afghan Ariana - Military,51,51,0,51
2020,Qtr 2,May,22,2020-05-22,Pakistan,Airbus,Airbus A320 214Ap,Karachi Pakistan,Airline International Pakistan,99,97,1,98
1935,Qtr 1,January,8,1935-01-08,Pakistan,Wapiti,Wapiti,Near Karachi Pakistan,Force Air Indian,2,0,15,15
1988,Qtr 3,August,17,1988-08-17,Pakistan,Lockheed,Lockheed C 130B Hercules23494,Bahawalpur Pakistan,Force Air Pakistan - Military,30,30,0,30
1956,Qtr 1,February,25,1956-02-25,Pakistan,Douglas,Douglas C 47Bap,Jalkot Pakistan,Airlines International Pakistan,3,3,0,3
1957,Qtr 3,July,1,1957-07-01,Pakistan,Douglas,Douglas Dc 3Ap,Bay Of Bengal Pakistan,Airlines International Pakistan,24,24,0,24
1965,Qtr 1,March,26,1965-03-26,Pakistan,Douglas,Douglas C 47Ap,Lowery Pass Pakistan,Airlines International Pakistan,26,22,0,22
2002,Qtr 1,January,9,2002-01-09,Pakistan,Lockheed,Lockheed Hercules Kc 130R160021,Shamsi Afb Pakistan,Force Air U.S. - Military,7,7,0,7
1959,Qtr 3,August,14,1959-08-14,Pakistan,Vickers,Vickers 815 Viscountap Aje,Karachi Pakistan,Airlines International Pakistan,3,2,0,2
1998,Qtr 3,September,10,1998-09-10,Pakistan,Lockheed,Lockheed C 130B Hercules24143,Islamabad Pakistan,Force Air Pakistan - Military,5,5,0,5
1972,Qtr 4,December,8,1972-12-08,Pakistan,Fokker,Fokker F 27 Friendship 400Ap,Near Rawalpindi Pakistan,Airlines International Pakistan,26,26,0,26
1947,Qtr 1,February,26,1947-02-26,Pacific,Douglas,Douglas C 47Bkk120,China Sea Pacific,Force Air Royal - Oceanmilitary,12,12,0,12
1973,Qtr 3,July,11,1973-07-11,Orly,Boeing,Boeing B 707,Paris Orly,France          Airport Varig,134,123,0,123
1932,Qtr 2,May,30,1932-05-30,Oregon,Boeing,Boeing 40Nc830M,Portland Oregon,Lines Air Varney,2,1,0,1
1991,Qtr 3,August,28,1991-08-28,Oregon,Aerospatiale,Aerospatiale 350B1N64Sf,Walton Oregon,Inc. Bohemia - Taxi Air,3,3,0,3
1966,Qtr 4,October,1,1966-10-01,Oregon,Mcdonnell,Mcdonnell Douglas Dc 9,Near Wemme Oregon,Airlines Coast West,18,18,0,18
1926,Qtr 4,December,16,1926-12-16,Oregon,Ryan,Ryan M 12,Medford Oregon,Transport Air Pacific,1,1,0,1
1978,Qtr 4,December,28,1978-12-28,Oregon,Mcdonnell,Mcdonnell Douglas Dc 8,Portland Oregon,Lines Air United,189,10,0,10
1979,Qtr 3,September,14,1979-09-14,Oregon,Douglas,Douglas Dc 7N455Sw,Near Klamath Falls Oregon,Inc. Aviation Butler,12,12,0,12
1933,Qtr 4,November,9,1933-11-09,Oregon,Boeing,Boeing 247Nc13345,Portland Oregon,Lines Air United,10,4,0,4
1933,Qtr 1,January,24,1933-01-24,Oregon,Ford,Ford 5 At,Eugene Oregon,Transport Air Pacific,3,2,0,2
1929,Qtr 1,January,18,1929-01-18,Oregon,Stearman,Stearman C 38Nc1682,Cove Oregon,Lines Air Varney,1,1,0,1
1967,Qtr 1,March,10,1967-03-10,Oregon,Fairchild,Fairchild F 27N2712,Near Klamath Falls Oregon,Airlines Coast West,4,4,0,4
1956,Qtr 2,May,15,1956-05-15,Ontario,Cf,Cf  100 Mark 4B18367,Orleans Ontario,Canada Military - Royal Canadian Air Force,2,2,13,15
1969,Qtr 4,November,9,1969-11-09,Ontario,Douglas,Douglas C 47Bcf,Timmins Ontario,Canada Austin Airways,4,2,0,2
1955,Qtr 1,January,15,1955-01-15,Ontario,Grumman,Grumman G 73 Mallardcf,London Ontario,Canada Ontario Hydro,5,1,0,1
1995,Qtr 3,September,2,1995-09-02,Ontario,British,British Aerospace Nimrod Mr 2Pxv239,Toronto Ontario,Canada Military - Royal Air Force,7,7,0,7
1965,Qtr 2,May,27,1965-05-27,Ontario,Noorduyn,Noorduyn Norsemancf Mpl,Cooper Lake Ontario,Canada Mattagami Skyways,5,3,0,3
2013,Qtr 4,November,10,2013-11-10,Ontario,Swearingen,Swearingen Sa227 Ac Metro Iic,Red Lake Ontario,Canada Bearskin Airlines,7,5,0,5
1938,Qtr 1,January,12,1938-01-12,Ontario,Stinson,Stinson Reliant Sr 9Cf,North Pine Ontario,Canada General Airways,1,1,0,1
1967,Qtr 2,May,19,1967-05-19,Ontario,Douglas,Douglas Dc 8,Ottawa Ontario,Canada Air Canada,3,3,0,3
1989,Qtr 1,March,10,1989-03-10,Ontario,Fokker,Fokker F 28 Fellowship 1000C,Dryden Ontario,Canada Air Ontario,69,24,0,24
1995,Qtr 2,May,1,1995-05-01,Ontario,Swear,Swear. Sa 227Cc Metro 23/Piper Navajoc,Sioux Falls Ontario,Canada Bearskin Airlines / Air Sandy,8,8,0,8
1989,Qtr 4,October,4,1989-10-04,Ontario,Boeing,Boeing Kc 135A56,Perth Ontario,Canada Military - U.S. Air Force,4,4,0,4
2013,Qtr 2,May,31,2013-05-31,Ontario,Sirkorsky,Sikorsky S 76,Moosonee Ontario,Ambulance Air Ornge,4,4,0,4
1941,Qtr 4,October,30,1941-10-30,Ontario,Douglas,Douglas Dc 3Nc25663,St. Thomas Ontario,Canada American Airlines,20,20,0,20
2003,Qtr 4,December,16,2003-12-16,Ontario,De Havilland,De Havilland Dhc 3 Otterc,Jellicoe Ontario,Canada Huron Air,3,2,0,2
1987,Qtr 2,May,11,1987-05-11,Ontario,Douglas,Douglas C 47Bc,Pickle Lake Ontario,Canada Air Manitoba,2,2,0,2
1929,Qtr 3,September,14,1929-09-14,Ontario,Travel,Travel Air 6000Cf Abe,Saint Catharines Ontario,Skyways,6,6,0,6
1959,Qtr 2,June,12,1959-06-12,Ontario,Noorduyn,Noorduyn Norsemancf Bhx,Sandy Lake Ontario,Tranair,8,8,0,8
1941,Qtr 1,February,6,1941-02-06,On,Lockheed,Lockheed 14 H2 Super Electracf,Armstrong On,Canada Trans Canada Air Lines,12,12,0,12
1990,Qtr 2,April,30,1990-04-30,On,Beechcraft,Beechcraft C99C Fgaw,Ship Sands Island On,Canada Frontier Air,4,1,0,1
1949,Qtr 3,August,9,1949-08-09,Oman,Douglas,Douglas C 47Bkn336,Salalah Oman,Force Air Royal - Military,12,12,0,12
1931,Qtr 3,September,15,1931-09-15,Oltenia,Fokker,Fokker F Viib,Near Craiova Oltenia,Romania Cidna,6,6,0,6
1943,Qtr 2,June,14,1943-06-14,Old,B,B  17C Flying Fortress12406,Near Mackay Old,Australia Military - U.S. Army Air Forces,41,40,0,40
1966,Qtr 2,April,22,1966-04-22,Oklahoma,Lockheed,Lockheed 188C Electran183H,Near Ardmore Oklahoma,Airline Flyers American,98,83,0,83
1956,Qtr 3,September,9,1956-09-09,Oklahoma,Douglas,Douglas Dc 3 / Cessna 170Bn33315 / N8143A,Bartlesville Oklahoma,Airlines Continental,18,0,0,0
1957,Qtr 1,January,6,1957-01-06,Oklahoma,Convair,Convair Cv 240,Owasso Oklahoma,Airlines American,10,1,0,1
1939,Qtr 1,March,26,1939-03-26,Oklahoma,Douglas,Douglas Dc 2,Oklahoma City Oklahoma,Airlines Braniff,12,8,0,8
1958,Qtr 1,March,7,1958-03-07,Okinawa,Fairchild,Fairchild R4Q / Dougas Ad 6 Skyraider129741/135350,Off Ryukyu Islands Okinawa,Corps Marine U.S. - Corps/Military Marine U.S. - Military,26,26,0,26
