Year,Quarter,Month,Day,Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Aboard,Fatalities (air),Ground,Casualties
1940,Qtr 2,June,20,1940-06-20,France,De Havilland,Dewoitine D 338F,Near Ouistreham France,France Air,1,1,0,1
1953,Qtr 3,September,1,1953-09-01,France,Lockheed,Lockheed 749A Constellationf Bazz,Near Barcelonnette France,France Air,42,42,0,42
1948,Qtr 2,May,13,1948-05-13,France,De Havilland,De Havilland Dove 1G Ajou,Mount Coron France,London Of Skyways,4,4,0,4
1928,Qtr 3,September,2,1928-09-02,France,Bleriot,Bleriot Spad 33F Aiep,Toul France,Cidna,5,5,0,5
1971,Qtr 1,January,21,1971-01-21,France,Nord,Nord 262A 34F,Near Privas France,L'Air De L'Armée,21,21,0,21
1925,Qtr 3,September,7,1925-09-07,France,Spad,Spad 33,Toul France,Cidna,0,0,0,0
1956,Qtr 1,January,28,1956-01-28,France,Douglas,Douglas C 47F,Lyon France,France Air,3,3,0,3
1927,Qtr 1,January,12,1927-01-12,France,Fokker,Fokker F Viig,Estaires France,Fokker,0,0,0,0
1935,Qtr 2,April,1,1935-04-01,France,Farman,Farman F 300F,Beauvais France,France Air,3,1,0,1
1923,Qtr 1,January,10,1923-01-10,France,Liore,Lioré  Et,Ajaccio France,L'Air De Amee,4,3,0,3
1956,Qtr 4,December,12,1956-12-12,France,Vickers,Vickers 708 Viscountf Bgnk,Dannemois France,France Air,5,5,0,5
1934,Qtr 1,January,15,1934-01-15,France,De Havilland,Dewoitine D 332F,Corbigny France,France Air,14,14,0,14
1956,Qtr 4,November,24,1956-11-24,France,Douglas,Douglas Dc 6Bi,Paris France,Italiane Aeree Linee,35,34,8,42
1993,Qtr 1,January,6,1993-01-06,France,De Havilland,De Havilland Canada Dhc 8,Paris France,Cityline Lufthansa,23,4,0,4
1948,Qtr 1,January,6,1948-01-06,France,Douglas,Douglas Dc 3Df,Paris France,France Air,16,16,0,16
1989,Qtr 1,February,6,1989-02-06,France,Vickers,Vickers 952F Vanguardf Geje,Marseille France,Ram,3,3,0,3
1973,Qtr 1,March,5,1973-03-05,France,Md,Md Douglas Dc 9,Near Nantes France,Transportes Sa Espana/Spantax De Aereas Lineas,182,68,0,68
1957,Qtr 1,January,29,1957-01-29,France,Sncase,Sncase Se.2010 Armagnacf Bavg,Paris France,France Air,70,2,0,2
1928,Qtr 4,October,31,1928-10-31,France,Bleriot,Bleriot Spad 56F Aimn,Valence France,Union Air,2,1,0,1
1954,Qtr 1,March,4,1954-03-04,France,Douglas,Douglas C 47A,Near St. Etienne De Tinee France,Force Air U.S. - Military,20,20,0,20
1945,Qtr 4,October,7,1945-10-07,France,Shorts,Short Stirling Ivlj668,Rennes France,Force Air Royal - Military,26,26,0,26
1973,Qtr 2,June,3,1973-06-03,France,Tupolev,Tupolev Tu 144Cccp,Goussainville France,Aeroflot,6,6,8,14
1945,Qtr 4,December,3,1945-12-03,France,Consolidated,Consolidated Lb 30A Liberatorkh125,Near Rochefort  France,Force Air -Royal Military,28,28,0,28
1953,Qtr 1,February,7,1953-02-07,France,Douglas,Douglas C 54A,Bordeaux France,Uta,19,9,0,9
1934,Qtr 1,January,20,1934-01-20,France,Breguet,Breguet 280Tf Ajkx,Carombe France,France Air,2,2,0,2
1938,Qtr 1,February,9,1938-02-09,France,Liore,Lioré  Et,Marseille France,France Air,12,8,0,8
1948,Qtr 1,February,21,1948-02-21,France,Latecoere,Latecoere 631 (Flying Boat)F Bdrd,Off St. Marcouf France,Airlines Latecoere,14,14,0,14
1925,Qtr 2,June,25,1925-06-25,France,Fokker,Fokker (Klm)  F.Iiih Nabm,Landrécies France,Airlines Dutch Royal Klm,4,4,0,4
1946,Qtr 1,January,30,1946-01-30,France,Douglas,Douglas C 47Bkn500,Near Le Mans France,Force Air Royal - Military,11,11,0,11
1933,Qtr 4,October,31,1933-10-31,France,Farman,Farman F 301F,Etobon France,France Air,5,2,0,2
1938,Qtr 1,February,22,1938-02-22,France,Junkers,Junkers Ju.52D Apar,Pontoise France,Lufthansa Deutsche,3,3,0,3
1989,Qtr 2,April,10,1989-04-10,France,Fairchild,Fairchild Fh 227Bf,Col De Tourniol France,Eas Service Aero Europe,22,22,0,22
1946,Qtr 1,January,15,1946-01-15,France,Douglas,Douglas C 47 Dakotakn557,Marseilles France,Force Air -Royal Military,25,23,0,23
1928,Qtr 1,March,11,1928-03-11,France,Farman,Farman F 60 Goliathf,Off Cape Griz Nez France,Union Air,2,2,0,2
1947,Qtr 4,November,13,1947-11-13,France,Junkers,Junkers Ju 52/3Mf,Near Bouchox France,Aérienne Navigation De Auxiliare Société,2,2,0,2
1965,Qtr 1,February,13,1965-02-13,Florida,Curtiss,Curtiss C 46Ays,Miami Florida,Salvador El Aerolineas,2,2,0,2
1945,Qtr 4,October,5,1945-10-05,Florida,Lockheed,Lockheed 18 Lodestarnc18199,Lakeland Florida,Airlines National,15,2,0,2
1990,Qtr 4,October,3,1990-10-03,Florida,Mcdonnell,Mcdonnell Douglas Dc 9,Cape Canaveral Florida,Lines Air Eastern,97,1,0,1
2011,Qtr 4,December,26,2011-12-26,Florida,Bell,Bell 206Bn5016M,Green Grove Florida?,N/A,3,3,0,3
